company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
NCCG TRADING LIMITED,07177330,Active,Private limited company,,,2010-03-04,,,56101 56210,"Newclose County Cricket Ground Blackwater Road Newport PO30 3BE "
BLACKWATER MANOR LIMITED,07600111,Active,Private limited by guarantee without share capital,,,2011-04-11,,,98000,"8 Gunville Road Newport PO30 5LB "
ROAKE STUDIO LTD,11891145,Active,Private limited company,,,2019-03-19,,,13990 15120 32120 96090,16c Sandown Road Lake PO36 9JP England
TOP2TOE THERAPIES LTD,10130225,Active,Private limited company,,,2016-04-18,,,96020 99999,2a Stanhope Lodge Stanhope Drive Cowes PO31 8BH England
GAS IOW LTD,12326698,Active,Private limited company,,,2019-11-21,,,43220,C/O Apple Accountancy 5 Holyrood Newport PO30 5AU England
OLESINSKI LIMITED,10086884,Active,Private limited company,,,2016-03-29,,,71111,1 Sun Hill Cowes PO31 7HY England
KARDAN TRAVEL HOLIDAYS LTD,06893984,Active,Private limited company,,,2009-05-01,,,79120,16c Sandown Road Lake PO36 9JP England
PENTAD LETTINGS LTD,13384094,Active,Private limited company,,,2021-05-10,,,68209,Exchange House St Cross Lane Newport PO30 5BZ England
GOB MANCHESTER LIMITED,10778001,Active,Private limited company,,,2017-05-18,,,56101,1 Swains End Swains Road Bembridge PO35 5XT England
P M COLOUR REPRO,LP004677,Active,Limited partnership,,,1994-07-14,,," ","16 Daish Way Dodnor Industrial Estate Newport PO30 5XJ "
ARDMAIR PARTNERS LP,LP005307,Active,Limited partnership,,,1997-02-21,,," ","Northwood House Ward Avenue Cowes PO31 8AZ "
THE SATURDAY NIGHT FEVER PARTNERSHIP,LP005631,Active,Limited partnership,,,1997-11-25,,," ","Barton Manor Whippingham East Cowes PO32 6LB "
COMPETITIVE INTERNATIONAL SAILING,LP006118,Active,Limited partnership,,,1999-02-16,,," ","South Gate, Lane End Close Bembridge Isle Of Wight PO35 5UF "
L K PEACH LIMITED,08514161,Active,Private limited company,,,2013-05-02,,,45200,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
RILL CARPENTRY & JOINERY LTD,09005153,Active,Private limited company,,,2014-04-22,,,43320,Loverstone Farm Chillerton Newport PO30 3EL England
ISLE OF WIGHT SOCIETY FOR THE BLIND,06240404,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2007-05-08,,,86900,"Millbrooke House 137 Carisbrooke Road Newport PO30 1DD "
HONNOR & JEFFREY LIMITED,03369414,Active,Private limited company,,,1997-05-12,,,47760,"Afton Garden Centre Afton Road Freshwater PO40 9UH "
GRUBER CARPENTRY LIMITED,12167511,Active,Private limited company,,,2019-08-21,,,16230,38 Mayfield Drive Newport PO30 2DH England
123 ST. JAMES STREET MANAGEMENT COMPANY LIMITED,06266344,Active,Private limited company,,,2007-06-01,,,68320,"16 College Close Sandown PO36 8EA "
LACEY'S (I.O.W.) LIMITED,00612572,Active,Private limited company,,,1958-10-07,,,49420 52103,"42 High Street Bembridge Isle Of Wight PO35 5SF "
BEEBY EDUCATION LIMITED,04623120,Active,Private limited company,,,2002-12-20,,,85590,Cemoc House C/O Isle Of Wight Accountants Rectory Drive Wootton Bridge PO33 4QQ England
PRIMARY FLATS MANAGEMENT COMPANY LIMITED(THE),01571994,Active,Private limited company,,,1981-07-02,,,98000,7 St. Edmunds Walk Wootton Bridge Ryde PO33 4JB England
BLACKBERRY LANE PRE-SCHOOL,05224550,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2004-09-07,,,85100,"Blackberry Lane Pre-School Edinburgh Close Cowes PO31 8HF "
TEMPO VENTURES LIMITED,03552337,Active,Private limited company,,,1998-04-24,,,82990,"Exchange House, St. Cross Lane Newport Isle Of Wight PO30 5BZ "
BARBROOKSBLADES LTD,15710443,Active,Private limited company,,,2024-05-09,,,71121,14 Spring Gardens Ventnor PO38 1QX United Kingdom
D MCCALLUM & ASSOCIATES LIMITED,08062644,Active,Private limited company,,,2012-05-09,,,74909,62 62 Meadow Drive Bembridge PO35 5XU United Kingdom
NEKO LIMITED,08913791,Active,Private limited company,,,2014-02-26,,,70229,101 Howgate Road Bembridge PO35 5TW England
DEVSON LIMITED,05190937,Active,Private limited company,,,2004-07-27,,,47110,"28 Riboleau Street Ryde Isle Of Wight PO33 2JT "
WEST ACRE PARK MANAGEMENT COMPANY LIMITED,12568166,Active,Private limited by guarantee without share capital,,,2020-04-22,,,98000,"Unit 1 Bembridge Marina Embankment Road Bembridge PO35 5NS "
STUART BOYD-KERR PROPERTY DEVELOPMENTS LIMITED,08579389,Active,Private limited company,,,2013-06-21,,,41100,"Priory Nursery Priory Drive Seaview PO34 5EA "
BASICALLY BOOK-KEEPING LIMITED,03825689,Active,Private limited company,,,1999-08-13,,,69202,"5 Hillside Terrace High Street Whitwell Ventnor PO38 2PY "
WIGHT SEASONS SOCIAL FARMING LIMITED,11528599,Active,Private limited company,,,2018-08-21,,,88100,18 Place Side Cowes PO31 7BB England
LEATHER TAYLOR LIMITED,03469597,Active,Private limited company,,,1997-11-21,,,96030,45 St James Street Newport PO30 1LG England
CMD SERVICES LIMITED,06239814,Active,Private limited company,,,2007-05-08,,,74100,Arnold House 2 New Road Brading Sandown PO36 0DT England
FB SLICE & DICE LIMITED,15522003,Active,Private limited company,,,2024-02-26,,,10390,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
PARK WAY JOINERY LTD,03205591,Active,Private limited company,,,1996-05-30,,,16230,"Ryde Business Park Nicholson Road Ryde PO33 1BE "
PGF DEVELOPMENT LTD,08523718,Active,Private limited company,,,2013-05-10,,,41100,"Greystones High Street Newchurch Sandown PO36 0NN "
FB THE WHOLESALER LIMITED,15521905,Active,Private limited company,,,2024-02-26,,,46310,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
DAOUD LIMITED,05812795,Active,Private limited company,,,2006-05-10,,,56101,"Kingsview Rex Piano Bar 23 Church Street Ventnor PO38 1SN "
FP MARKETING LTD,13717677,Active,Private limited company,,,2021-11-02,,,70210 73120 73200,C/O 5 Holyrood Street Newport PO30 5AU United Kingdom
PAN MANAGEMENT C.I.C.,07185123,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2010-03-10,,,96090,"9 St Johns Place Newport PO30 1LH "
PLUPERFECT TRANSLATION LIMITED,05915715,Active,Private limited company,,,2006-08-24,,,82190,East Quay Kite Hill Wootton Bridge PO33 4LA England
DAVID HERITAGE LIMITED,04067551,Active,Private limited company,,,2000-09-07,,,32990,Unit 5/6 Saunders Drive Somerton Business Park Cowes PO31 8HU England
WIGHT SYNERGY LIMITED,08438692,Active,Private limited company,,,2013-03-11,,,43999,3 Garfield Road Ryde PO33 2PS United Kingdom
KING TEXTILES LTD,05914523,Active,Private limited company,,,2006-08-23,,,47710,"Exchange House St. Cross Lane Newport PO30 5BZ "
VENTNOR COMMUNITY EARLY YEARS CENTRE LTD,08457584,Active,Private limited by guarantee without share capital,,,2013-03-22,,,85100,"16c Sandown Road Lake PO36 9JP "
ASPEN WEALTH MANAGEMENT LLP,OC427188,Active,Limited liability partnership,,,2019-05-03,,," ",Pension Advice Centre 18 Cross Street Ryde PO33 2AD England
GURU HR LTD,07987745,Active,Private limited company,,,2012-03-13,,,78300,Everwood New Road Wootton Bridge Isle Of Wight PO33 4JL England
MASSALA BOWL LIMITED,14487414,Active,Private limited company,,,2022-11-16,,,56103,114a High Street Ryde PO33 2SU England
ELIZABETH HARRIS MEDICAL COSMETICS LTD,14161294,Active,Private limited company,,,2022-06-09,,,86220,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
TINY CAT LTD,12385344,Active,Private limited company,,,2020-01-03,,,56101 82990 93290,"C/O Apple Accountancy 5, Holyrood Street Newport PO30 5AU United Kingdom"
PRIORY SCHOOL PROPERTIES LTD,07657830,Active,Private limited company,,,2011-06-03,,,68209,Beatrice Avenue Whippingham East Cowes PO32 6LP England
